SD_Code,DG,DG_size,DG_size_acq,age,sex,height,weight,relStat,relStat_other,education,contracept,date,NPI_avg,SRP_avg,MACHIV_avg,BFI_N_avg,BFI_E_avg,BFI_O_avg,BFI_A_avg,BFI_C_avg,PA_R1,PA_R2,PA_R3,PA_R4,PA_avg,BMI,SOI_R_B_avg,SOI_R_A_avg,SOI_R_D_avg,TargEff__choice_relFrequ_acq,TargEff__FS_avg_acq,TargEff__ONS_avg_acq,TargEff__BC_avg_acq,TargEff__FWB_avg_acq,TargEff__STR_avg_acq,TargEff__LTR_avg_acq,TargEff__PA_avg_acq,TargEff__Like_avg_acq,TargEff__Int_avg_acq,TargEff__FIPI_N_avg_acq,TargEff__FIPI_E_avg_acq,TargEff__FIPI_O_avg_acq,TargEff__FIPI_A_avg_acq,TargEff__FIPI_C_avg_acq,PercEff__choice_relFrequ_acq,PercEff__FS_avg_acq,PercEff__ONS_avg_acq,PercEff__BC_avg_acq,PercEff__FWB_avg_acq,PercEff__STR_avg_acq,PercEff__LTR_avg_acq,PercEff__PA_avg_acq,PercEff__Like_avg_acq,PercEff__Int_avg_acq,PercEff__FIPI_N_avg_acq,PercEff__FIPI_E_avg_acq,PercEff__FIPI_O_avg_acq,PercEff__FIPI_A_avg_acq,PercEff__FIPI_C_avg_acq
101,1,11,11,20,1,173,70,1,"",4,1,2,2.45,1.9615384615384615,3.2222222222222223,3.0,3.0,4.0,4.0,3.75,3.0,3.0,1.0,3.0,2.5,23.38868655818771,1.3333333333333333,3.0,1.6666666666666667,-0.30149090909090914,-1.2731272727272729,-0.8861909090909093,-0.7029999999999998,-0.9728272727272727,-0.8540060606060607,-1.0800545454545456,-1.3262181818181817,-1.5872545454545457,-0.05718181818181822,1.5636999999999999,-2.3961363636363635,-1.5186545454545457,-1.5325181818181814,0.8297545454545454,0.1659545454545454,0.6579363636363631,-1.0484363636363636,-1.353890909090909,-0.9977545454545456,-1.133360606060606,0.5846909090909094,1.1212909090909093,0.34109999999999996,0.7729636363636363,-1.0460272727272724,0.23114545454545476,0.1909363636363639,0.8633818181818187,0.12130909090909103
102,1,11,11,20,1,161,65,1,"",4,1,2,2.45,1.8461538461538463,2.8333333333333335,4.0,3.75,5.0,3.25,3.0,4.0,4.0,5.0,5.0,4.5,25.076193048107708,5.0,8.666666666666666,4.666666666666667,0.33487272727272727,0.09050909090909087,1.6592636363636366,1.6606363636363635,1.6635363636363634,1.6611454545454543,1.374490909090909,1.310145454545454,0.7763818181818181,0.48827272727272764,-0.6181181818181818,0.5129545454545452,-0.7913818181818182,0.5583909090909094,0.19339090909090917,-0.1067727272727273,-0.6147909090909094,-0.04843636363636383,-0.0811636363636361,-0.7250272727272729,-0.2848757575757576,-0.5971272727272725,-0.33325454545454525,-0.2043545454545459,0.1365999999999996,-0.5914818181818182,0.14023636363636394,-0.2636090909090907,-0.5911636363636363,-0.5150545454545452
103,1,11,11,19,1,170,61,1,"",4,2,2,2.175,1.5,2.3333333333333335,3.75,2.25,4.25,4.0,4.25,2.0,3.0,1.0,3.0,2.25,21.107266435986162,1.0,1.6666666666666667,4.666666666666667,-0.2105818181818182,-1.3640363636363637,-1.3407363636363636,-1.0666363636363634,-1.1546454545454545,-1.187339393939394,-1.1709636363636367,-1.5080363636363638,-0.7690727272727278,-0.693545454545454,0.7455181818181815,-0.8506818181818185,-0.06410909090909067,0.46748181818181855,-0.35206363636363625,-0.1067727272727273,0.3852090909090906,-1.1393454545454547,-1.1720727272727272,-0.543209090909091,-0.9515424242424242,1.2210545454545456,0.03038181818181851,-0.11344545454545418,0.22750909090909044,0.31760909090909095,-0.49612727272727275,-0.5363363636363636,-0.04570909090909048,-0.33323636363636355
104,1,11,11,21,1,164,58,1,"",4,2,2,2.85,2.1538461538461537,2.8333333333333335,2.25,4.0,4.75,3.25,4.25,5.0,5.0,6.0,6.0,5.5,21.564544913741823,2.6666666666666665,2.0,4.666666666666667,0.24396363636363633,-0.5458545454545454,2.3865363636363632,2.478818181818182,2.0271727272727276,2.297509090909091,1.0108545454545452,1.764690909090909,0.14001818181818138,-0.05718181818181822,0.5636999999999999,-0.8506818181818185,-0.24592727272727277,-0.5325181818181814,0.2843,-0.1067727272727273,-0.7057000000000002,-1.6848,-1.4447999999999999,-1.4523000000000001,-1.5273,-0.3243999999999998,-1.8787090909090907,-1.1134454545454546,-0.40885454545454625,0.6812454545454547,-1.3143090909090906,-0.8090636363636361,-0.6820727272727272,-0.6968727272727269
105,1,11,10,24,1,168,67,1,"",5,1,1,2.825,2.5384615384615383,3.0555555555555554,2.5,4.75,3.75,3.5,4.0,3.0,5.0,3.0,2.0,3.25,23.738662131519277,2.3333333333333335,3.0,2.0,0.30759999999999993,-0.3003999999999998,1.2229,0.6970000000000001,0.9999000000000002,0.9732666666666668,0.6654,0.055600000000000094,0.05819999999999936,0.2610000000000001,0.06369999999999987,0.3674999999999997,0.3268,0.049300000000000566,0.08429999999999982,0.22049999999999997,0.6579363636363631,-1.6848,-1.4447999999999999,0.2749727272727269,-0.9515424242424243,0.03923636363636396,0.21220000000000017,0.6138272727272724,1.0456909090909088,-1.0460272727272724,0.3220545454545456,0.37275454545454556,0.8633818181818187,-0.060509090909090624
106,1,11,8,22,1,168,53,1,"",4,1,2,2.75,1.9230769230769231,2.611111111111111,1.75,4.75,5.0,4.0,4.5,3.0,5.0,3.0,6.0,4.25,18.77834467120182,5.333333333333333,7.333333333333333,4.666666666666667,0.6075999999999999,0.6246,2.5229,2.922,3.0499,2.8316000000000003,2.2154,2.1056,1.5831999999999997,0.6360000000000001,-0.31130000000000013,0.5924999999999998,0.5268000000000002,0.6493000000000002,-0.5907,-0.004500000000000004,-0.34206363636363646,-1.775709090909091,-1.8084363636363636,-1.815936363636364,-1.8000272727272728,-1.5971272727272725,-1.515072727272727,-0.931627272727273,-1.317945454545455,0.8630636363636364,1.4129636363636366,1.3727545454545456,-1.1366181818181813,1.121309090909091
107,1,11,10,20,1,176,59,1,"",4,1,2,2.675,1.9615384615384615,1.8333333333333333,3.25,4.75,3.0,3.0,3.5,6.0,6.0,4.0,7.0,5.75,19.047004132231404,4.333333333333333,5.333333333333333,2.6666666666666665,0.5076,0.19960000000000022,2.1228999999999996,2.397,2.2999,2.2732666666666668,0.9653999999999998,1.6555999999999997,0.4581999999999997,0.06099999999999994,-0.43630000000000013,0.5674999999999999,0.5268000000000002,0.24929999999999986,-0.015699999999999825,-0.1795,-1.6147909090909094,-1.9575272727272728,-1.7175272727272726,-1.7250272727272729,-1.8000272727272728,-1.5971272727272725,-2.151436363636363,-2.022536363636364,-1.4997636363636366,1.0448818181818185,1.2311454545454548,0.5545727272727272,-1.3184363636363634,0.39403636363636396
108,1,11,7,19,1,180,75,1,"",4,2,2,3.225,2.4615384615384617,2.7222222222222223,2.75,4.75,5.0,3.0,2.0,5.0,7.0,4.0,7.0,5.75,23.148148148148145,7.0,8.666666666666666,6.333333333333333,0.3218857142857143,-0.28611428571428554,2.165757142857143,2.154142857142857,1.5856142857142856,1.968504761904762,0.6082571428571426,1.427028571428571,0.10105714285714296,0.04671428571428571,-0.43630000000000013,0.6817857142857142,0.31251428571428574,0.3635857142857146,-0.7157,-0.0937857142857143,0.49429999999999996,-0.6848000000000001,-0.24479999999999968,-0.052300000000000235,-0.3273,0.07560000000000011,-1.1877999999999997,-0.15890000000000004,-0.7634000000000007,1.0267,0.5766,1.1273000000000002,-0.6547999999999998,0.7304000000000004
109,1,11,10,23,1,169,53,1,"",4,2,2,2.375,1.7307692307692308,2.4444444444444446,3.5,4.25,3.5,3.75,4.5,3.0,5.0,2.0,5.0,3.75,18.556773222226116,4.0,7.0,6.666666666666667,0.007599999999999996,-0.5004,0.32289999999999974,0.49700000000000033,0.39990000000000014,0.4066000000000001,0.4653999999999998,0.5556000000000001,-0.14179999999999993,0.4610000000000003,1.4636999999999998,-0.6325000000000003,-0.37319999999999975,-0.3506999999999998,1.3843,-0.27949999999999997,0.021572727272726855,-1.5938909090909092,-1.353890909090909,-1.3613909090909093,-1.4363909090909093,-1.3243999999999998,-0.5150727272727269,0.34109999999999996,0.8638727272727271,0.5903363636363639,0.14023636363636394,-0.3545181818181815,0.04520000000000035,0.39403636363636396
110,1,11,11,23,1,156,46,2,"",4,2,2,2.925,2.230769230769231,2.611111111111111,3.25,3.0,1.0,3.0,2.0,7.0,7.0,6.0,6.0,6.5,18.902038132807363,3.3333333333333335,7.333333333333333,2.3333333333333335,0.6075999999999999,-0.3640363636363637,3.1138090909090907,3.297,3.2089909090909092,3.2066,2.6472181818181815,2.1283272727272724,0.9581999999999997,0.5791818181818185,-0.8908454545454543,1.1493181818181817,0.8449818181818185,1.0129363636363635,0.2843,-0.1067727272727273,-1.069336363636364,-1.5938909090909092,-1.5357090909090907,-1.543209090909091,-1.5576030303030304,-1.4153090909090906,-1.515072727272727,-0.11344545454545418,-0.40885454545454625,1.0448818181818185,0.04932727272727311,0.10002727272727308,-0.04570909090909048,0.30312727272727313
