SD_Code,DG,DG_size,DG_size_acq,age,sex,height,weight,relStat,relStat_other,education,contracept,date,NPI_avg,SRP_avg,MACHIV_avg,BFI_N_avg,BFI_E_avg,BFI_O_avg,BFI_A_avg,BFI_C_avg,PA_R1,PA_R2,PA_R3,PA_R4,PA_avg,BMI,SOI_R_B_avg,SOI_R_A_avg,SOI_R_D_avg,TargEff__choice_relFrequ_acq,TargEff__FS_avg_acq,TargEff__ONS_avg_acq,TargEff__BC_avg_acq,TargEff__FWB_avg_acq,TargEff__STR_avg_acq,TargEff__LTR_avg_acq,TargEff__PA_avg_acq,TargEff__Like_avg_acq,TargEff__Int_avg_acq,TargEff__FIPI_N_avg_acq,TargEff__FIPI_E_avg_acq,TargEff__FIPI_O_avg_acq,TargEff__FIPI_A_avg_acq,TargEff__FIPI_C_avg_acq,PercEff__choice_relFrequ_acq,PercEff__FS_avg_acq,PercEff__ONS_avg_acq,PercEff__BC_avg_acq,PercEff__FWB_avg_acq,PercEff__STR_avg_acq,PercEff__LTR_avg_acq,PercEff__PA_avg_acq,PercEff__Like_avg_acq,PercEff__Int_avg_acq,PercEff__FIPI_N_avg_acq,PercEff__FIPI_E_avg_acq,PercEff__FIPI_O_avg_acq,PercEff__FIPI_A_avg_acq,PercEff__FIPI_C_avg_acq
101,1,11,11,20,1,173,70,1, ,4,1,2,2.45,1.96153846153846,3.22222222222222,3,3,4,4,3.75,3,3,1,3,2.5,23.3886865581877,1.33333333333333,3,1.66666666666667,-.301490909090909,-1.27312727272727,-.886190909090909,-.703,-.972827272727273,-.854006060606061,-1.08005454545455,-1.32621818181818,-1.58725454545455,-.0571818181818182,1.5637,-2.39613636363636,-1.51865454545455,-1.53251818181818,.829754545454545,.165954545454545,.657936363636363,-1.04843636363636,-1.35389090909091,-.997754545454546,-1.13336060606061,.584690909090909,1.12129090909091,.3411,.772963636363636,-1.04602727272727,.231145454545455,.190936363636364,.863381818181819,.121309090909091
102,1,11,11,20,1,161,65,1, ,4,1,2,2.45,1.84615384615385,2.83333333333333,4,3.75,5,3.25,3,4,4,5,5,4.5,25.0761930481077,5,8.66666666666667,4.66666666666667,.334872727272727,.0905090909090909,1.65926363636364,1.66063636363636,1.66353636363636,1.66114545454545,1.37449090909091,1.31014545454545,.776381818181818,.488272727272728,-.618118181818182,.512954545454545,-.791381818181818,.558390909090909,.193390909090909,-.106772727272727,-.614790909090909,-.0484363636363638,-.0811636363636361,-.725027272727273,-.284875757575758,-.597127272727273,-.333254545454545,-.204354545454546,.1366,-.591481818181818,.140236363636364,-.263609090909091,-.591163636363636,-.515054545454545
103,1,11,11,19,1,170,61,1, ,4,2,2,2.175,1.5,2.33333333333333,3.75,2.25,4.25,4,4.25,2,3,1,3,2.25,21.1072664359862,1,1.66666666666667,4.66666666666667,-.210581818181818,-1.36403636363636,-1.34073636363636,-1.06663636363636,-1.15464545454545,-1.18733939393939,-1.17096363636364,-1.50803636363636,-.769072727272728,-.693545454545454,.745518181818182,-.850681818181819,-.0641090909090907,.467481818181819,-.352063636363636,-.106772727272727,.385209090909091,-1.13934545454545,-1.17207272727273,-.543209090909091,-.951542424242424,1.22105454545455,.0303818181818185,-.113445454545454,.22750909090909,.317609090909091,-.496127272727273,-.536336363636364,-.0457090909090905,-.333236363636364
104,1,11,11,21,1,164,58,1, ,4,2,2,2.85,2.15384615384615,2.83333333333333,2.25,4,4.75,3.25,4.25,5,5,6,6,5.5,21.5645449137418,2.66666666666667,2,4.66666666666667,.243963636363636,-.545854545454545,2.38653636363636,2.47881818181818,2.02717272727273,2.29750909090909,1.01085454545455,1.76469090909091,.140018181818181,-.0571818181818182,.5637,-.850681818181819,-.245927272727273,-.532518181818181,.2843,-.106772727272727,-.7057,-1.6848,-1.4448,-1.4523,-1.5273,-.3244,-1.87870909090909,-1.11344545454545,-.408854545454546,.681245454545455,-1.31430909090909,-.809063636363636,-.682072727272727,-.696872727272727
105,1,11,10,24,1,168,67,1, ,5,1,1,2.825,2.53846153846154,3.05555555555556,2.5,4.75,3.75,3.5,4,3,5,3,2,3.25,23.7386621315193,2.33333333333333,3,2,.3076,-.3004,1.2229,.697,.9999,.973266666666667,.6654,.0556000000000001,.0581999999999994,.261,.0636999999999999,.3675,.3268,.0493000000000006,.0842999999999998,.2205,.657936363636363,-1.6848,-1.4448,.274972727272727,-.951542424242424,.039236363636364,.2122,.613827272727272,1.04569090909091,-1.04602727272727,.322054545454546,.372754545454546,.863381818181819,-.0605090909090906
106,1,11,8,22,1,168,53,1, ,4,1,2,2.75,1.92307692307692,2.61111111111111,1.75,4.75,5,4,4.5,3,5,3,6,4.25,18.7783446712018,5.33333333333333,7.33333333333333,4.66666666666667,.6076,.6246,2.5229,2.922,3.0499,2.8316,2.2154,2.1056,1.5832,.636,-.3113,.5925,.5268,.6493,-.5907,-.0045,-.342063636363636,-1.77570909090909,-1.80843636363636,-1.81593636363636,-1.80002727272727,-1.59712727272727,-1.51507272727273,-.931627272727273,-1.31794545454545,.863063636363636,1.41296363636364,1.37275454545455,-1.13661818181818,1.12130909090909
107,1,11,10,20,1,176,59,1, ,4,1,2,2.675,1.96153846153846,1.83333333333333,3.25,4.75,3,3,3.5,6,6,4,7,5.75,19.0470041322314,4.33333333333333,5.33333333333333,2.66666666666667,.5076,.1996,2.1229,2.397,2.2999,2.27326666666667,.9654,1.6556,.4582,.0609999999999999,-.4363,.5675,.5268,.2493,-.0156999999999998,-.1795,-1.61479090909091,-1.95752727272727,-1.71752727272727,-1.72502727272727,-1.80002727272727,-1.59712727272727,-2.15143636363636,-2.02253636363636,-1.49976363636364,1.04488181818182,1.23114545454545,.554572727272727,-1.31843636363636,.394036363636364
108,1,11,7,19,1,180,75,1, ,4,2,2,3.225,2.46153846153846,2.72222222222222,2.75,4.75,5,3,2,5,7,4,7,5.75,23.1481481481481,7,8.66666666666667,6.33333333333333,.321885714285714,-.286114285714286,2.16575714285714,2.15414285714286,1.58561428571429,1.96850476190476,.608257142857143,1.42702857142857,.101057142857143,.0467142857142857,-.4363,.681785714285714,.312514285714286,.363585714285715,-.7157,-.0937857142857143,.4943,-.6848,-.2448,-.0523000000000002,-.3273,.0756000000000001,-1.1878,-.1589,-.763400000000001,1.0267,.5766,1.1273,-.6548,.7304
109,1,11,10,23,1,169,53,1, ,4,2,2,2.375,1.73076923076923,2.44444444444444,3.5,4.25,3.5,3.75,4.5,3,5,2,5,3.75,18.5567732222261,4,7,6.66666666666667,.0076,-.5004,.3229,.497,.3999,.4066,.4654,.5556,-.1418,.461,1.4637,-.6325,-.3732,-.3507,1.3843,-.2795,.0215727272727269,-1.59389090909091,-1.35389090909091,-1.36139090909091,-1.43639090909091,-1.3244,-.515072727272727,.3411,.863872727272727,.590336363636364,.140236363636364,-.354518181818182,.0452000000000004,.394036363636364
110,1,11,11,23,1,156,46,2, ,4,2,2,2.925,2.23076923076923,2.61111111111111,3.25,3,1,3,2,7,7,6,6,6.5,18.9020381328074,3.33333333333333,7.33333333333333,2.33333333333333,.6076,-.364036363636364,3.11380909090909,3.297,3.20899090909091,3.2066,2.64721818181818,2.12832727272727,.9582,.579181818181818,-.890845454545454,1.14931818181818,.844981818181819,1.01293636363636,.2843,-.106772727272727,-1.06933636363636,-1.59389090909091,-1.53570909090909,-1.54320909090909,-1.55760303030303,-1.41530909090909,-1.51507272727273,-.113445454545454,-.408854545454546,1.04488181818182,.0493272727272731,.100027272727273,-.0457090909090905,.303127272727273
111,1,11,11,22,1,169,57,1, ,4,2,1,2.85,2.11538461538462,2.33333333333333,3.75,4.5,4.75,4,3.25,5,6,5,6,5.5,19.9572844088092,1,2.66666666666667,5.33333333333333,.243963636363636,-.454945454545455,1.47744545454545,1.20609090909091,1.11808181818182,1.26720606060606,.192672727272727,1.03741818181818,.0491090909090905,-.329909090909091,-.618118181818182,1.05840909090909,.844981818181819,.558390909090909,-.352063636363636,-.3795,1.20339090909091,-1.6848,-1.4448,-1.4523,-1.5273,-1.3244,-.878709090909091,1.06837272727273,1.31841818181818,-1.22784545454545,-1.40521818181818,.281845454545455,1.68156363636364,1.12130909090909
112,1,11,11,19,1,169,66,1, ,4,2,2,2.55,1.84615384615385,2.27777777777778,3.75,5,3.5,2.75,3.75,5,5,5,5,5,23.1084345786212,5,7.66666666666667,6.33333333333333,.153054545454545,-.454945454545455,1.38653636363636,.842454545454546,.754445454545455,.994478787878788,-.170963636363636,.673781818181818,.230927272727272,-.329909090909091,-.163572727272728,-.214318181818182,-.155018181818181,-.3507,.193390909090909,-.288590909090909,-.432972727272727,-.775709090909091,-.899345454545454,-.906845454545455,-.860633333333333,-.960763636363636,-.969618181818181,-.0225363636363634,-1.04521818181818,-.500572727272727,-.314309090909091,-.718154545454545,-.227527272727272,-.9696
