"SD_Code","DG","DG_size","DG_size_acq","age","sex","height","weight","relStat","relStat_other","education","contracept","date","NPI_avg","SRP_avg","MACHIV_avg","BFI_N_avg","BFI_E_avg","BFI_O_avg","BFI_A_avg","BFI_C_avg","PA_R1","PA_R2","PA_R3","PA_R4","PA_avg","BMI","SOI_R_B_avg","SOI_R_A_avg","SOI_R_D_avg","TargEff__choice_relFrequ_acq","TargEff__FS_avg_acq","TargEff__ONS_avg_acq","TargEff__BC_avg_acq","TargEff__FWB_avg_acq","TargEff__STR_avg_acq","TargEff__LTR_avg_acq","TargEff__PA_avg_acq","TargEff__Like_avg_acq","TargEff__Int_avg_acq","TargEff__FIPI_N_avg_acq","TargEff__FIPI_E_avg_acq","TargEff__FIPI_O_avg_acq","TargEff__FIPI_A_avg_acq","TargEff__FIPI_C_avg_acq","PercEff__choice_relFrequ_acq","PercEff__FS_avg_acq","PercEff__ONS_avg_acq","PercEff__BC_avg_acq","PercEff__FWB_avg_acq","PercEff__STR_avg_acq","PercEff__LTR_avg_acq","PercEff__PA_avg_acq","PercEff__Like_avg_acq","PercEff__Int_avg_acq","PercEff__FIPI_N_avg_acq","PercEff__FIPI_E_avg_acq","PercEff__FIPI_O_avg_acq","PercEff__FIPI_A_avg_acq","PercEff__FIPI_C_avg_acq"
137,3,15,15,21,1,170,59,1,"",4,2,2,2.725,2.30769230769231,3.55555555555556,3,2.5,2.5,2.75,3,4,5,3,5,4.25,20.4152249134948,2.33333333333333,5.33333333333333,2,0.0742666666666667,-0.333733333333333,0.689566666666666,0.963666666666667,1.03323333333333,0.895488888888889,1.4654,1.0556,0.0248666666666662,-0.0389999999999997,1.03036666666667,-1.09916666666667,-0.906533333333333,0.115966666666667,0.2843,-0.246166666666667,-1.23903333333333,-1.4848,-1.31146666666667,-1.38563333333333,-1.39396666666667,-1.25773333333333,-2.25446666666667,-2.19223333333333,-2.0634,1.56003333333333,0.0432666666666668,0.160633333333334,-1.88813333333333,-0.0362666666666667
138,3,15,15,21,1,169,60,1,"",4,2,2,2.6,2.73076923076923,3.5,2.75,3.25,2.75,2.5,2.5,4,5,4,3,4,21.0076677987465,2,6,2,-0.0590666666666667,-0.733733333333333,0.6229,0.897,0.4999,0.673266666666667,0.332066666666667,0.922266666666666,-0.508466666666667,-0.372333333333334,-0.169633333333334,-0.165833333333334,-0.506533333333333,-0.884033333333333,-0.182366666666667,-0.1795,-1.03903333333333,-1.6848,-1.4448,-1.4523,-1.5273,-1.1244,-1.1878,-0.592233333333334,-1.19673333333333,0.160033333333334,-0.356733333333333,-1.30603333333333,-0.7548,-0.5696
139,3,15,15,22,1,165,74,1,"",4,2,2,1.7,1.80769230769231,2.11111111111111,3.75,4,4,3.75,2.25,3,4,1,2,2.5,27.1808999081726,2.33333333333333,8,1,-0.125733333333333,0.666266666666667,-0.643766666666667,-0.103,0.0998999999999999,-0.215622222222222,-0.3346,-0.5444,0.691533333333333,0.694333333333334,-0.0362999999999998,0.700833333333333,0.960133333333333,0.715966666666667,-0.3157,0.0871666666666667,1.6943,1.5152,-0.711466666666667,-1.18563333333333,-0.1273,0.342266666666667,1.6122,1.7411,1.80326666666667,-1.1733,1.70993333333333,1.2273,1.6452,-0.236266666666666
140,3,15,15,20,1,173,73,1,"",4,1,1,2.6,1.69230769230769,2.16666666666667,2.25,3.75,4,3.25,3.5,3,4,1,2,2.5,24.3910588392529,1.33333333333333,2.66666666666667,1.33333333333333,-0.3924,-1.53373333333333,-1.64376666666667,-1.303,-1.3001,-1.41562222222222,-1.40126666666667,-1.61106666666667,-1.4418,-0.772333333333333,0.9637,-1.29916666666667,-0.906533333333333,-1.61736666666667,-0.0490333333333335,0.153833333333333,1.02763333333333,-0.551466666666667,-1.0448,-1.4523,-1.01618888888889,1.20893333333333,1.4122,0.7411,0.603266666666666,-0.839966666666666,0.509933333333334,0.0939666666666668,0.311866666666667,0.297066666666667
141,3,15,14,20,1,179,60,1,"",4,2,2,2.425,2.07692307692308,2.61111111111111,4.5,2.75,3.75,2.5,4,2,4,2,3,2.75,18.7260073031428,4,4,4,-0.178114285714286,-0.928971428571428,0.0943285714285715,0.0112857142857146,-0.128671428571428,-0.00768571428571407,-0.5346,-0.00154285714285685,-0.756085714285715,-1.239,0.920842857142857,-2.0325,-0.687485714285714,-0.636414285714285,-0.429985714285714,0.1205,0.160966666666666,-1.01813333333333,-1.0448,-0.585633333333334,-0.882855555555556,-0.257733333333333,-0.9878,-0.325566666666667,0.0699333333333332,0.160033333333334,-0.4234,-0.3727,-0.488133333333333,-0.502933333333333
142,3,15,15,23,1,166,61,1,"",4,1,1,1.7,1.34615384615385,1.44444444444444,2.75,2.75,5,4,3,2,3,1,2,2,22.1367397300044,1,4.66666666666667,3,-0.1924,0.1996,-0.5771,-0.369666666666666,-0.166766666666667,-0.371177777777778,-0.3346,-0.5444,0.3582,0.0943333333333332,-0.4363,-0.499166666666667,-0.306533333333333,-0.284033333333333,-0.0490333333333335,-0.112833333333333,0.560966666666666,-1.6848,-1.4448,-1.2523,-1.46063333333333,-0.791066666666666,-1.3878,-0.325566666666667,-0.6634,0.8267,0.443266666666667,0.760633333333333,-0.288133333333333,0.297066666666667
143,3,15,15,25,1,165,49,1,"",5,2,2,3.075,2.15384615384615,3.38888888888889,3.5,4,4.5,2.75,4,4,6,3,6,4.75,17.9981634527089,1.33333333333333,5,2,0.4076,0.132933333333334,2.68956666666667,2.697,2.43323333333333,2.6066,2.2654,1.8556,0.491533333333333,0.761,-0.836300000000001,1.10083333333333,0.293466666666667,-0.0840333333333332,0.8843,-0.246166666666667,-0.372366666666667,-1.61813333333333,-1.37813333333333,-1.38563333333333,-1.46063333333333,-1.25773333333333,-0.921133333333333,0.0744333333333334,-0.6634,0.2267,-0.4234,-0.706033333333333,1.51186666666667,-0.9696
144,3,15,15,19,1,167,69,1,"",4,2,2,2.7,2.34615384615385,2.83333333333333,2.5,3.75,3.25,2.75,3.25,4,6,2,5,4.25,24.7409372871024,3,7,5.33333333333333,0.0742666666666667,0.0662666666666665,0.489566666666667,0.630333333333334,0.833233333333333,0.651044444444445,-0.0679333333333334,0.122266666666667,0.224866666666666,-0.172333333333333,-0.302966666666666,0.434166666666667,-0.239866666666666,-0.1507,0.150966666666667,0.0205,0.4943,1.5152,1.5552,1.5477,1.53936666666667,1.54226666666667,0.545533333333333,0.00776666666666692,1.06993333333333,-0.439966666666667,0.643266666666667,0.2273,1.0452,0.697066666666667
145,3,15,15,18,1,168,55,1,"",4,1,2,2.675,2.26923076923077,3.38888888888889,3,4,4.5,3,3.75,5,7,7,6,6.25,19.4869614512472,5,7.33333333333333,7.66666666666667,0.6076,0.466266666666667,2.48956666666667,3.097,3.23323333333333,2.93993333333333,3.33206666666667,2.52226666666667,1.69153333333333,0.827666666666667,-0.369633333333334,1.1675,1.0268,1.0493,0.617633333333334,-0.246166666666667,0.627633333333333,-0.618133333333333,-0.711466666666667,-0.785633333333333,-0.705077777777778,-0.991066666666667,-1.1878,0.0744333333333334,0.0699333333333332,1.0267,0.1766,-0.7727,-0.0881333333333334,-0.5696
146,3,15,14,25,1,170,68,1,"",4,2,2,3.125,2.07692307692308,2.5,2.25,4.75,4.5,4.25,3.75,3,5,3,3,3.5,23.5294117647059,8.66666666666667,9,7.33333333333333,0.179028571428571,0.142457142857143,0.737185714285714,1.01128571428571,1.2999,1.01612380952381,0.822542857142857,0.8556,0.815342857142857,0.689571428571429,-0.293442857142857,0.753214285714285,1.09822857142857,0.577871428571429,0.570014285714286,0.0490714285714286,-0.239033333333333,0.781866666666667,0.821866666666667,0.881033333333333,0.828255555555556,0.2756,0.2122,0.1411,-0.263400000000001,0.160033333333334,-0.756733333333333,-0.506033333333333,-0.888133333333333,-0.102933333333333
